10000000;Bundesbank;09
10010010;Postbank;24
10010111;SEB;13
10010222;The Royal Bank of Scotland, Niederlassung Deutschland;10
10010424;Aareal Bank;09
10019610;Dexia Kommunalbank Deutschland;09
10020000;Berliner Bank -alt-;69
10020200;BHF-BANK;60
10020400;Citadele Bank Zndl Deutschland;09
10020500;Bank für Sozialwirtschaft;09
10020890;UniCredit Bank - HypoVereinsbank;99
10030200;Berlin-Hannoversche Hypothekenbank;09
10030400;ABK-Kreditbank;09
10030500;Bankhaus Löbbecke;09
10030600;North Channel Bank;88
10030700;Gries & Heissel - Bankiers;16
10033300;Santander Consumer Bank;09
10040000;Commerzbank Berlin (West);13
10040010;Commerzbank, CC SP;09
10040048;Commerzbank GF-B48;13
10040060;Commerzbank Gf 160;09
10040061;Commerzbank Gf 161;09
10040062;Commerzbank CC;09
10040063;Commerzbank CC;09
10045050;Commerzbank Service-BZ;13
10050000;Landesbank Berlin - Berliner Sparkasse;B8
10050005;Landesbank Berlin - E 1 -;C6
10050006;Landesbank Berlin - E 2 -;D1
10050007;Landesbank Berlin - E 3 -;D4
10050008;Landesbank Berlin - E 4 -;09
10050020;LBB S-Kreditpartner, Berlin;B8
10050021;LBB S-Kreditpartner Bad Homburg v d Höhe;09
10050500;LBS Ost Berlin;09
10050600;WestLB Berlin;08
10050999;DekaBank Berlin;09
10060198;Pax-Bank;06
10060237;Evangelische Darlehnsgenossenschaft;33
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;09
10070000;Deutsche Bank Fil Berlin;63
10070024;Deutsche Bank Privat und Geschäftskunden F 700;63
10070100;Deutsche Bank Fil Berlin II;63
10070124;Deutsche Bank Privat und Geschäftskd Berlin II;63
10070848;Berliner Bank Niederlassung der Deutsche Bank PGK;63
10077777;norisbank;63
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;76
10080005;Commerzbank vormals Dresdner Bank Zw A;76
10080006;Commerzbank vormals Dresdner Bank Zw B;76
10080055;Commerzbank vormals Dresdner Bank Zw 55;76
10080057;Commerzbank vormals Dresdner Bank Gf ZW 57;76
10080085;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;09
10080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;09
10080087;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;09
10080088;Commerzbank vormals Dresdner Bank IBLZ;76
10080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;09
10080900;Commerzbank vormals Dresdner Bank Filiale Berlin III;76
10089260;Commerzbank vormals Dresdner Bank ITGK;09
10089999;Commerzbank vormals Dresdner Bank ITGK 2;09
10090000;Berliner Volksbank;06
10090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;09
10090603;apoBank;A4
10090900;PSD Bank Berlin-Brandenburg;91
10110300;Bankhaus Dr. Masel;09
10110400;Investitionsbank Berlin;09
10110600;quirin bank;17
10120100;Weberbank;94
10120600;Santander Consumer Bank;41
10120760;UniCredit Bank - HypoVereinsbank Ndl 260 BIn;99
10120800;VON ESSEN Bankgesellschaft;09
10120900;readybank;09
10120999;readybank Gf GAA;09
10130600;Isbank Fil Berlin;06
10130800;BIW Bank;01
10220600;Sydbank Filiale Berlin;19
10310600;Tradegate Wertpapierhandelsbank Berlin;09
12016836;KfW Kreditanstalt für Wiederaufbau;09
12030000;Deutsche Kreditbank Berlin;00
12030900;Merck Finck & Co;10
12040000;Commerzbank Berlin Ost;13
12050555;NLB FinanzIT;09
12060000;DZ BANK;09
12070000;Deutsche Bank Ld Brandenburg;63
12070024;Deutsche Bank Privat und Geschäftskunden;63
12070070;Deutsche Bank (Gf intern);09
12070088;Deutsche Bank (Gf intern);09
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;76
12090640;apoBank;A4
12096597;Sparda-Bank Berlin;A8
13000000;Bundesbank;09
13010111;SEB;13
13040000;Commerzbank;13
13050000;Ostseesparkasse Rostock;20
13051042;Sparkasse Rügen;C0
13061008;Volksbank Wolgast;32
13061028;Volksbank Raiffeisenbank ehem VB Greifswald;32
13061078;Volks- und Raiffeisenbank;32
13061088;Raiffeisenbank Wismar -alt-;32
13061128;Raiffeisenbank;32
13070000;Deutsche Bank;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13080000;Commerzbank vormals Dresdner Bank;76
13090000;Rostocker Volks- und Raiffeisenbank;32
13091054;Pommersche Volksbank;32
13091084;Volksbank Wismar -alt-;06
14000000;Bundesbank eh Schwerin;09
14040000;Commerzbank;13
14051000;Sparkasse Mecklenburg-Nordwest;20
14051362;Sparkasse Parchim-Lübz;20
14051462;Sparkasse Schwerin -alt-;C0
14052000;Sparkasse Mecklenburg-Schwerin;20
14061308;Volks- und Raiffeisenbank;32
14061438;Raiffeisen-Volksbank -alt-;32
14080000;Commerzbank vormals Dresdner Bank;76
14080011;Commerzbank vormals Dresdner Bank Zw W;76
14091464;VR-Bank;32
15000000;Bundesbank;09
15040068;Commerzbank;13
15050100;Müritz-Sparkasse;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050400;Sparkasse Uecker-Randow;20
15050500;Sparkasse Vorpommern;20
15051732;Sparkasse Mecklenburg-Strelitz;C0
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061638;Volksbank Raiffeisenbank;32
15061658;Raiffeisenbank Pasewalk-Strasburg -alt-;32
15061698;Raiffeisenbank Malchin;32
15061758;Neubrandenburger Bank -alt-;06
15080000;Commerzbank vormals Dresdner Bank;76
15091674;Volksbank Demmin;06
15091704;VR-Bank Uckermark-Randow;06
16000000;Bundesbank eh Potsdam;09
16010111;SEB;13
16010300;Investitionsbank des Landes Brandenburg;08
16020086;UniCredit Bank - HypoVereinsbank;99
16040000;Commerzbank;13
16050000;Mittelbrandenburgische Sparkasse in Potsdam;20
16050101;Sparkasse Prignitz;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050500;LBS Ostdeutsche Landesbausparkasse;09
16060122;Volks- und Raiffeisenbank Prignitz;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16062008;VR-Bank Fläming;28
16062073;Brandenburger Bank;32
16080000;Commerzbank vormals Dresdner Bank;76
16091994;Volksbank Rathenow;32
17000000;Bundesbank eh Frankfurt (Oder);09
17020086;UniCredit Bank - HypoVereinsbank;99
17040000;Commerzbank;13
17052000;Sparkasse Barnim;20
17052302;Stadtsparkasse Schwedt;C0
17054040;Sparkasse Märkisch-Oderland;20
17055050;Sparkasse Oder-Spree;20
17056060;Sparkasse Uckermark;20
17062428;Raiffeisenbank-Volksbank Oder-Spree;32
17080000;Commerzbank vormals Dresdner Bank;76
17092404;VR Bank Fürstenwalde Seelow Wriezen;32
18000000;Bundesbank;09
18020086;UniCredit Bank - HypoVereinsbank;99
18040000;Commerzbank;13
18050000;Sparkasse Spree-Neiße;20
18051000;Sparkasse Elbe-Elster;20
18055000;Sparkasse Niederlausitz;20
18062678;VR Bank Lausitz;32
18062758;VR Bank Forst;32
18080000;Commerzbank vormals Dresdner Bank;76
18092684;Spreewaldbank;32
18092744;Volksbank Spree-Neiße;32
20000000;Bundesbank;09
20010020;Postbank (Giro);24
20010111;SEB;13
20010424;Aareal Bank;09
20020200;SEB Merchant Bank Hamburg;09
20020500;Jyske Bank Fil Hamburg;09
20020900;Signal Iduna Bauspar;09
20030000;UniCredit Bank - HypoVereinsbank;68
20030300;DONNER & REUSCHEL;09
20030400;Marcard, Stein & Co Bankiers;00
20030600;Sydbank Fil Hamburg;19
20030700;Merck Finck & Co;10
20030900;Bankhaus Wölbern & Co;06
20040000;Commerzbank;13
20040020;Commerzbank, CC SP;09
20040040;Commerzbank GF RME;13
20040048;Commerzbank GF-H48;13
20040050;Commerzbank GF COC;13
20040060;Commerzbank Gf 260;09
20040061;Commerzbank Gf 261;09
20040062;Commerzbank CC;09
20040063;Commerzbank CC;09
